SampleID	Stage	Reads
IM-24-030-KGWA_S71	OutputPostprocessing	276029
IM-24-030-LMVK_S184	Input	450917
IM-24-030-LMVK_S184	No Dimers	448195
IM-24-030-LMVK_S184	Amplicons	414148
IM-24-030-LMVK_S184	OutputDada2	383011
IM-24-030-LMVK_S184	OutputPostprocessing	379925
IM-24-030-LPHV_S79	Input	257934
IM-24-030-LPHV_S79	No Dimers	255973
IM-24-030-LPHV_S79	Amplicons	237267
IM-24-030-LPHV_S79	OutputDada2	219573
IM-24-030-LPHV_S79	OutputPostprocessing	217784
IM-24-030-LQVQ_S455	Input	346375
IM-24-030-LQVQ_S455	No Dimers	345399
IM-24-030-LQVQ_S455	Amplicons	319756
IM-24-030-LQVQ_S455	OutputDada2	293344
IM-24-030-LQVQ_S455	OutputPostprocessing	291760
IM-24-030-LQWB_S78	Input	214120
IM-24-030-LQWB_S78	No Dimers	211210
IM-24-030-LQWB_S78	Amplicons	196539
IM-24-030-LQWB_S78	OutputDada2	182080
IM-24-030-LQWB_S78	OutputPostprocessing	180256
IM-24-030-MJGZ_S90	Input	144705
IM-24-030-MJGZ_S90	No Dimers	144298
IM-24-030-MJGZ_S90	Amplicons	134513
IM-24-030-MJGZ_S90	OutputDada2	124582
IM-24-030-MJGZ_S90	OutputPostprocessing	123685
IM-24-030-NSHF_S459	Input	203892
IM-24-030-NSHF_S459	No Dimers	203063
IM-24-030-NSHF_S459	Amplicons	187252
IM-24-030-NSHF_S459	OutputDada2	173355
IM-24-030-NSHF_S459	OutputPostprocessing	172894
IM-24-030-PJRQ_S89	Input	361756
IM-24-030-PJRQ_S89	No Dimers	361216
IM-24-030-PJRQ_S89	Amplicons	335770
IM-24-030-PJRQ_S89	OutputDada2	310901
IM-24-030-PJRQ_S89	OutputPostprocessing	309269
IM-24-030-PZXL_S81	Input	305384
IM-24-030-PZXL_S81	No Dimers	303389
IM-24-030-PZXL_S81	Amplicons	281683
IM-24-030-PZXL_S81	OutputDada2	260727
IM-24-030-PZXL_S81	OutputPostprocessing	258645
IM-24-030-QCFP_S68	Input	1
IM-24-030-QCFP_S68	No Dimers	1
IM-24-030-QCFP_S68	Amplicons	1
IM-24-030-QCFP_S68	OutputDada2	1
IM-24-030-QCFP_S68	OutputPostprocessing	1
IM-24-030-RGPV_S91	Input	242881
