SampleID	Stage	Reads
IM-24-036-HGDW_S18_L001	Amplicons	144620
IM-24-036-HGDW_S18_L001	OutputDada2	143862
IM-24-036-HGDW_S18_L001	OutputPostprocessing	143725
IM-24-036-HLDD_S31_L001	Input	100024
IM-24-036-HLDD_S31_L001	No Dimers	98981
IM-24-036-HLDD_S31_L001	Amplicons	91934
IM-24-036-HLDD_S31_L001	OutputDada2	91333
IM-24-036-HLDD_S31_L001	OutputPostprocessing	90287
IM-24-036-HNXZ_S30_L001	Input	104549
IM-24-036-HNXZ_S30_L001	No Dimers	103573
IM-24-036-HNXZ_S30_L001	Amplicons	96119
IM-24-036-HNXZ_S30_L001	OutputDada2	95525
IM-24-036-HNXZ_S30_L001	OutputPostprocessing	94897
IM-24-036-HUXF_S33_L001	Input	270924
IM-24-036-HUXF_S33_L001	No Dimers	269214
IM-24-036-HUXF_S33_L001	Amplicons	250615
IM-24-036-HUXF_S33_L001	OutputDada2	249178
IM-24-036-HUXF_S33_L001	OutputPostprocessing	248036
IM-24-036-JRKV_S5_L001	Input	112546
IM-24-036-JRKV_S5_L001	No Dimers	111895
IM-24-036-JRKV_S5_L001	Amplicons	104108
IM-24-036-JRKV_S5_L001	OutputDada2	103376
IM-24-036-JRKV_S5_L001	OutputPostprocessing	103196
IM-24-036-JXJB_S12_L001	Input	78678
IM-24-036-JXJB_S12_L001	No Dimers	78092
IM-24-036-JXJB_S12_L001	Amplicons	72997
IM-24-036-JXJB_S12_L001	OutputDada2	72539
IM-24-036-JXJB_S12_L001	OutputPostprocessing	72457
IM-24-036-JXRB_S6_L001	Input	100726
IM-24-036-JXRB_S6_L001	No Dimers	100125
IM-24-036-JXRB_S6_L001	Amplicons	93081
IM-24-036-JXRB_S6_L001	OutputDada2	92446
IM-24-036-JXRB_S6_L001	OutputPostprocessing	92005
IM-24-036-KFTY_S16_L001	Input	155335
IM-24-036-KFTY_S16_L001	No Dimers	154446
IM-24-036-KFTY_S16_L001	Amplicons	143023
IM-24-036-KFTY_S16_L001	OutputDada2	142007
IM-24-036-KFTY_S16_L001	OutputPostprocessing	141171
IM-24-036-KVJT_S28_L001	Input	71812
IM-24-036-KVJT_S28_L001	No Dimers	70819
IM-24-036-KVJT_S28_L001	Amplicons	66139
IM-24-036-KVJT_S28_L001	OutputDada2	65792
IM-24-036-KVJT_S28_L001	OutputPostprocessing	65763
IM-24-036-LMBX_S8_L001	Input	196988
IM-24-036-LMBX_S8_L001	No Dimers	196152
IM-24-036-LMBX_S8_L001	Amplicons	180904
IM-24-036-LMBX_S8_L001	OutputDada2	179584
IM-24-036-LMBX_S8_L001	OutputPostprocessing	178137
IM-24-036-LSSX_S34_L001	Input	201581
IM-24-036-LSSX_S34_L001	No Dimers	200109
IM-24-036-LSSX_S34_L001	Amplicons	186003
IM-24-036-LSSX_S34_L001	OutputDada2	184757
IM-24-036-LSSX_S34_L001	OutputPostprocessing	184066
IM-24-036-MGBT_S7_L001	Input	157667
IM-24-036-MGBT_S7_L001	No Dimers	156340
IM-24-036-MGBT_S7_L001	Amplicons	144366
IM-24-036-MGBT_S7_L001	OutputDada2	143319
IM-24-036-MGBT_S7_L001	OutputPostprocessing	142388
IM-24-036-MMML_S27_L001	Input	105430
IM-24-036-MMML_S27_L001	No Dimers	104976
IM-24-036-MMML_S27_L001	Amplicons	96927
IM-24-036-MMML_S27_L001	OutputDada2	96100
IM-24-036-MMML_S27_L001	OutputPostprocessing	95710
IM-24-036-NRTL_S36_L001	Input	169918
IM-24-036-NRTL_S36_L001	No Dimers	168625
IM-24-036-NRTL_S36_L001	Amplicons	156624
IM-24-036-NRTL_S36_L001	OutputDada2	155722
IM-24-036-NRTL_S36_L001	OutputPostprocessing	155297
IM-24-036-PCBV_S37_L001	Input	151513
IM-24-036-PCBV_S37_L001	No Dimers	149682
IM-24-036-PCBV_S37_L001	Amplicons	139280
IM-24-036-PCBV_S37_L001	OutputDada2	138024
IM-24-036-PCBV_S37_L001	OutputPostprocessing	137272
IM-24-036-PPXY_S21_L001	Input	81773
IM-24-036-PPXY_S21_L001	No Dimers	80845
IM-24-036-PPXY_S21_L001	Amplicons	75485
IM-24-036-PPXY_S21_L001	OutputDada2	75074
IM-24-036-PPXY_S21_L001	OutputPostprocessing	75003
IM-24-036-QVCT_S32_L001	Input	175871
IM-24-036-QVCT_S32_L001	No Dimers	174894
IM-24-036-QVCT_S32_L001	Amplicons	161881
IM-24-036-QVCT_S32_L001	OutputDada2	160925
IM-24-036-QVCT_S32_L001	OutputPostprocessing	159640
IM-24-036-QYFM_S19_L001	Input	93729
IM-24-036-QYFM_S19_L001	No Dimers	93229
IM-24-036-QYFM_S19_L001	Amplicons	86869
IM-24-036-QYFM_S19_L001	OutputDada2	86423
IM-24-036-QYFM_S19_L001	OutputPostprocessing	86383
IM-24-036-RLMJ_S15_L001	Input	151595
IM-24-036-RLMJ_S15_L001	No Dimers	150217
IM-24-036-RLMJ_S15_L001	Amplicons	139494
IM-24-036-RLMJ_S15_L001	OutputDada2	138435
IM-24-036-RLMJ_S15_L001	OutputPostprocessing	137498
IM-24-036-RQDV_S17_L001	Input	179386
IM-24-036-RQDV_S17_L001	No Dimers	178497
IM-24-036-RQDV_S17_L001	Amplicons	165724
IM-24-036-RQDV_S17_L001	OutputDada2	164608
